epoch	Bleu_1	Bleu_2	Bleu_3	Bleu_4	METEOR	ROUGE_L
0	25.293266913060368	8.146682092267136	3.5121482606606627	0.9571856207209366	22.16603379228177	32.3819562316888
1	15.40184186491368	7.156894905458704	3.0637561821947084	1.583948052227397	18.185738735325057	35.62699552321383
2	33.203429462192794	18.75369477525824	10.757360623250461	5.623375688368797	28.48860173346528	39.9153690085337
3	38.57064920894007	23.1358196804701	14.395219474640907	8.2825844146344	30.524319167006396	41.521422001556495
4	47.5508031743334	30.495431473192586	21.194509146512058	15.132122884606156	32.36579981804181	43.61206067109806
5	52.49720044791657	36.774122100956234	27.133894901506896	20.720538053875252	35.40227713877088	47.376659734805465
6	51.36412459719627	35.259048550203865	25.66942333624928	19.10488328461619	36.38442914242893	48.29599625483977
7	50.1608118549448	37.36072123934053	28.75074112584356	22.897309093963187	32.71279484099428	51.28141447100405
8	58.61837658342347	42.748844697206756	32.815213055608474	25.876197612107543	37.24485903159641	53.8236022092031
9	53.208892617438494	39.55608414483314	30.62096979526053	24.312632613983077	37.58005527706269	52.155360939171516
10	59.68978505231451	43.53868451869806	33.264726071019815	25.96928260884785	37.52544461077408	54.25638751915706
11	60.518934081332276	44.96581626672969	35.395889967610245	28.373315139367506	38.97764636220537	54.663798016011256
12	59.678902938813124	44.86377193785088	35.43192064008597	28.689957458086745	38.02458587729721	54.24893050981064
13	57.590723641817135	42.976410368308194	33.92760520684707	27.4019847437665	39.76577923565252	55.735710709577035
14	62.63762005151964	47.44591096977017	37.76490530831154	30.64300739085109	39.38714891765949	56.11581663596006
15	62.1604018695911	46.728693674926845	37.116240935091035	30.27714806564134	39.6251106815761	56.167217233998336
16	62.96723580986087	47.31447202588984	37.70161671569739	30.723195305160356	40.57737349997098	56.692100651607646
17	60.56838365895635	46.50750543976919	37.49331782782524	30.817081875734885	40.98654434669037	58.30513090941313
18	60.62610229275559	47.01892889795966	38.368144432722154	31.913601175708084	41.01427288499128	58.083451663562315
19	57.600920131164266	43.90542854036285	35.193314806141686	28.81181277016824	37.382308052623095	54.96764196327988
20	61.25114573784114	47.72256122895993	39.06469274386796	32.74755652562092	40.13595732821985	57.76246251037831
21	60.91392465454592	47.39166411247859	38.420279740509436	31.656853574766913	39.024743509326754	57.24559717151766
22	63.03261128301284	48.809432670176875	39.85220019866829	33.12340550426395	39.99273323101761	57.64704310738472
23	64.1542102570859	50.51376296441149	41.62121918125407	34.76239163724736	40.407132522829656	58.99476825056098
24	58.007269617263624	44.36736648798848	35.92686080730383	29.58223351138202	41.14987336408494	57.286942011956796
25	65.14289226316333	50.79369052388421	41.39427827145532	34.36577521654034	41.49608475553657	58.837943652470216
26	62.83489809936733	48.49543329753668	39.30885215891627	32.36446919375661	42.17812682308741	58.359657924061345
27	64.4633388522356	50.5050607251154	41.49243501714966	34.644001890807004	41.4851955114619	58.896210681546066
28	61.01106530699478	47.40116548866312	38.67039435105998	32.09695997820838	42.01683853736799	59.12986879972488
29	60.68686006824644	48.03762018686515	39.388868230146976	32.61022586500299	42.72769970180592	59.329363650530475
