epoch	Bleu_1	Bleu_2	Bleu_3	Bleu_4	METEOR	ROUGE_L
0	45.78018486855594	28.505455105128796	19.322596657284	13.887614098125962	27.919614852029728	41.11028607111406
1	44.202347052715886	30.466668035174727	21.974713239845418	16.11499285114168	25.863443924359093	42.60457306564762
2	42.98245614034249	29.66763195450955	21.736965174703002	16.547906503781817	31.590615576674747	44.416550355280066
3	48.891613528696546	34.972594438360844	26.55974557566273	20.820851684717447	30.169163261266167	44.73806243541976
4	47.65571913928705	34.3930970423747	26.512109029524762	21.0756951326719	30.2855293407855	46.99513498908547
5	43.90396659706807	31.475537098036966	24.33809496183124	19.4489603555678	30.50080704064503	45.28445876985982
6	49.91317940453324	36.37229101770231	28.29953691248611	22.59793494760194	31.531846936903857	45.52027748625828
7	47.382747068666795	35.04233665474278	27.52713880453949	22.206611964325713	33.101738959903955	47.096083643360046
8	49.76733364354356	36.347711676766465	28.438929144576285	22.856809424881273	31.09311285543848	46.62071594142425
9	46.25216637780626	33.17250700082761	25.312876820406156	19.832465066776304	31.018347297636407	46.20518935337562
10	51.280965335747844	37.63096966787731	29.27408607207076	23.40870868333593	31.878780013389857	46.40453329839858
11	46.96388944925419	34.66843093730005	27.207410657260912	21.827533998718827	33.56768332954424	47.35632382842703
12	44.14788453933488	32.2325825009699	24.856347237321145	19.650768617121106	31.867578176857602	46.783061876304046
13	46.425686591266874	33.205192579113515	25.523420083829528	20.022288382646902	33.92102729586164	47.35716042866929
14	43.43297974926838	32.05637494751209	25.015471875586844	20.170878494072795	32.12168703257814	47.35368580252871
15	49.515682656815144	36.663473239931335	29.025605533330257	23.509702032709445	31.484121264593746	47.90455408264822
16	48.764020404397115	35.035487370649335	27.100330114616572	21.75084309367144	31.303781992145517	45.905036049695816
17	37.13337988826167	27.063648353094255	20.980905397505712	16.625656819410565	30.448576502134173	45.65207745246988
18	38.616071428564794	26.768460970738982	19.737684587094055	14.897032508551305	32.15361158898856	44.488537468295654
19	51.51098901097721	37.99596870984703	29.96351627718025	24.221663284598833	33.1891837165207	47.315871255838395
20	42.35850916978064	30.368449352528227	23.22941313993837	18.265525188055154	31.548386929826815	45.26331472248375
21	49.82030548067164	36.78449500425098	28.71298553197515	23.074927646444873	32.84360125734743	46.459382223189216
22	45.48051418077015	32.6227839445418	24.991793918320862	19.681134839001068	32.495271016993115	46.65136008645557
23	45.91879447466598	32.66511842966583	24.80270321098054	19.343895208364454	32.476246782512284	43.85009858009734
24	51.63799198678961	38.40809178361961	30.260403004411955	24.475942115388662	32.57457821588445	46.577269314190936
25	48.60781351175294	35.637136582019764	28.048960587477612	22.769968554145862	33.84217911863131	46.24218053834564
26	46.61500815659734	34.57742213194798	27.388085168013504	22.221487279592807	33.611100246148276	47.80458449761577
27	49.95553579367497	36.760782183919254	28.757560163029783	23.206211429123424	33.25956447554018	46.649331521254354
28	51.1800092549627	37.39202534342593	29.221994077944665	23.329515926773954	32.97739275897559	46.392077834418906
29	52.08482249223153	37.79555329311057	29.593390060317603	23.965134816825934	33.19889651477906	46.28682548130975
